drug_name,count,perc,mismatch
ambroxol,53961,54.01501501501501,
famotidine,52731,52.78378378378379,
acetaminophen,39151,39.19019019019019,
bisacodyl,35328,35.36336336336336,
tramadol,32769,32.8018018018018,
cefazolin,29851,29.880880880880884,
ramosetron,28217,28.245245245245243,
flomoxef,25881,25.906906906906908,
moxifloxacin,23051,23.074074074074076,
acetyl cysteine,22064,22.086086086086084,1.0
ketorolac,22039,22.06106106106106,
epinephrine,21663,21.684684684684687,
lidocaine,21591,21.612612612612615,
magnesium oxide,20725,20.745745745745744,
fentanyl,18145,18.163163163163162,
thioglycolic acid,17994,18.012012012012015,1.0
cefotetan,17194,17.21121121121121,
ibuprofen,16908,16.924924924924927,
ofloxacin,16324,16.34034034034034,
palonosetron,15994,16.01001001001001,
pethidine,14926,14.940940940940942,1.0
potassium chloride,14567,14.581581581581581,
pantoprazole,14195,14.20920920920921,
arginine,13500,13.513513513513514,
polymyxin b,12431,12.443443443443442,
oxytetracycline,12431,12.443443443443442,
metoclopramide,12050,12.062062062062061,
erdosteine,11582,11.593593593593592,
ranitidine,10911,10.921921921921921,
acetylcysteine,10848,10.85885885885886,
phenylephrine,10471,10.481481481481483,
tropicamide,10105,10.115115115115115,
mosapride,9973,9.982982982982982,
amlodipine,9791,9.8008008008008,
hyaluronate,9701,9.71071071071071,
itopride,9380,9.38938938938939,
lactulose,8881,8.88988988988989,
oxycodone,8809,8.817817817817817,
propacetamol,8386,8.394394394394395,
proparacaine,8339,8.347347347347348,
ascorbic acid,8203,8.21121121121121,
zaltoprofen,7566,7.573573573573573,
chlorhexidine gluconate,7501,7.508508508508509,1.0
potassium phophate,7478,7.485485485485485,1.0
furosemide,7077,7.084084084084084,
nicardipine,7074,7.081081081081081,
dexamethasone disodium phosphate,7072,7.0790790790790785,1.0
aspirin enteric coated,6996,7.003003003003003,1.0
chondroitin,6914,6.9209209209209215,1.0
heparin sodium,6654,6.660660660660661,
midazolam,6568,6.574574574574575,
enoxaparine,6531,6.537537537537537,1.0
ceftriaxone,6493,6.499499499499499,
tamsulosin,6165,6.171171171171172,
levothyroxine sodium,6077,6.083083083083083,1.0
bupivacaine,5894,5.8998998998999,
insulin human,5771,5.776776776776777,1.0
benzydamine,5599,5.604604604604605,
nefopam,5567,5.5725725725725725,
amylase,5539,5.544544544544545,
lipase,5539,5.544544544544545,
protease,5539,5.544544544544545,
esomeprazole,5532,5.5375375375375375,
aceclofenac,5486,5.491491491491492,
udca,5281,5.286286286286286,1.0
gentamicin,5248,5.253253253253253,
povidone iodine,5174,5.179179179179179,1.0
normal saline,5157,5.162162162162162,1.0
monobasic sodium phosphate,5047,5.052052052052052,1.0
"sodium phosphate dibasic,",5047,5.052052052052052,1.0
morphine sulfate,5012,5.017017017017017,1.0
magnesium sulfate,4998,5.003003003003003,
indigocarmine,4952,4.956956956956957,1.0
rebamipide,4939,4.943943943943943,
triamcinolone acetonide,4851,4.8558558558558556,1.0
rifaximin,4754,4.758758758758759,
granisetron,4738,4.742742742742743,
prednisolon,4707,4.711711711711711,1.0
methylprednisolone succinate,4691,4.695695695695696,1.0
chlorpheniramine,4682,4.686686686686687,
atorvastatin,4625,4.62962962962963,
lansoprazole,4531,4.535535535535535,
vancomycin,4408,4.412412412412412,
bromhexine,4387,4.391391391391392,
piperacillin,4369,4.373373373373373,
tazobactam,4354,4.358358358358359,
salbutamol,4284,4.288288288288288,1.0
metronidazole,4276,4.28028028028028,
nalbuphine,4267,4.271271271271272,
tranexamic acid,4049,4.053053053053053,
remifentanil,4039,4.043043043043043,
ipratropium,3962,3.965965965965966,
hydrocortisone,3869,3.8728728728728727,
metformin,3514,3.5175175175175175,
hemocoagulase,3499,3.5025025025025025,
pseudoephedrine,3489,3.4924924924924925,
simethicone,3451,3.4544544544544546,
theobromine,3334,3.3373373373373374,
polaprezinc,3291,3.294294294294294,
cefotaxime,3236,3.2392392392392395,
spironolactone,3162,3.165165165165165,
calcium carbonate,3145,3.148148148148148,
hydrochlorothiazide,3093,3.0960960960960957,
ropivacaine,3076,3.0790790790790794,
celecoxib,3057,3.06006006006006,
ebastine,3020,3.0230230230230233,
clopidogrel,3012,3.015015015015015,
rosuvastatin,2985,2.987987987987988,
naloxone,2928,2.930930930930931,
flumazenil,2892,2.894894894894895,
cefoxitin,2812,2.814814814814815,
domperidone maleate,2727,2.72972972972973,1.0
levetiracetam,2703,2.7057057057057055,
mupirocin,2702,2.704704704704705,
ceftezole,2676,2.6786786786786787,
diltiazem,2646,2.6486486486486487,
microfibrillar collagen hemostatic,2620,2.6226226226226226,1.0
carbachol,2573,2.5755755755755754,
cholecalciferol,2524,2.526526526526527,
levofloxacin hydrate,2479,2.4814814814814814,1.0
dalteparin,2475,2.4774774774774775,
atropine,2461,2.4634634634634636,
zolpidem,2447,2.4494494494494496,
sucralfate,2443,2.4454454454454453,
levosulpiride,2432,2.4344344344344346,
ciprofloxacin,2416,2.418418418418418,
omeprazole,2366,2.3683683683683685,
nafamostat,2347,2.349349349349349,
clindamycin,2326,2.3283283283283285,
acetaminophen inj,2325,2.3273273273273274,1.0
lactobacilus acidophilus,2248,2.25025025025025,1.0
calcium,2237,2.2392392392392395,
megestrol,2222,2.224224224224224,
phytonadione,2207,2.209209209209209,1.0
carvedilol,2206,2.2082082082082084,
quetiapine,2196,2.1981981981981984,
bisoprolol,2175,2.177177177177177,
piroxicam,2172,2.1741741741741745,
hyaluronidase,2110,2.112112112112112,
cimetropium bromide,2104,2.106106106106106,1.0
prednisolone acetate,2084,2.086086086086086,1.0
losartan potassium,2070,2.0720720720720722,1.0
vasopressin,2058,2.06006006006006,1.0
glimepiride,2052,2.054054054054054,
silymarin,2028,2.03003003003003,
methylergometrin maleate,2015,2.017017017017017,1.0
mannitol,2013,2.015015015015015,
fluorometholone acetate,1988,1.98998998998999,1.0
sodium bicarbonate,1985,1.986986986986987,
ketoprofen,1966,1.9679679679679678,
lansoprazole lfdt,1942,1.9439439439439439,1.0
lorazepam,1896,1.8978978978978978,
joulie's soln,1868,1.86986986986987,1.0
nitroglycerin,1864,1.8658658658658658,
bethanechol,1856,1.857857857857858,
ondansetron,1820,1.8218218218218218,
alfacalcidol,1798,1.7997997997997999,
levofloxacin,1785,1.7867867867867866,
levocetirizine,1779,1.780780780780781,
