concept_name,count,perc
calcium chloride / lactate / potassium chloride / sodium chloride injectable solution,63363,63.42642642642643
propofol injection,58600,58.65865865865866
ambroxol,53961,54.01501501501501
famotidine,52731,52.78378378378379
ephedrine injection,37260,37.2972972972973
bisacodyl,35328,35.36336336336336
cefazolin,29851,29.880880880880884
fentanyl injection,24991,25.016016016016017
sodium chloride 9 mg/ml injection,24411,24.435435435435434
moxifloxacin,23051,23.074074074074076
remifentanil injection,22221,22.243243243243242
ketorolac,22039,22.06106106106106
epinephrine,21663,21.684684684684687
lidocaine,21591,21.612612612612615
magnesium oxide,20725,20.745745745745744
fentanyl,18145,18.163163163163162
cefotetan,17194,17.21121121121121
phenylephrine injection,16884,16.9009009009009
ofloxacin,16324,16.34034034034034
palonosetron,15990,16.006006006006007
hydroxyethyl starch 130-0.4 injection,15817,15.832832832832832
acetaminophen,15534,15.54954954954955
potassium chloride,14567,14.581581581581581
pantoprazole,14195,14.20920920920921
metoclopramide,12050,12.062062062062061
erdosteine,11582,11.593593593593592
tramadol,11387,11.398398398398399
acetylcysteine,10848,10.85885885885886
ranitidine,10404,10.414414414414415
mosapride,9973,9.982982982982982
amlodipine,9298,9.307307307307306
lactulose,8881,8.88988988988989
proparacaine,8339,8.347347347347348
ascorbic acid,8203,8.21121121121121
furosemide,7077,7.084084084084084
nicardipine,7074,7.081081081081081
oxycodone,6873,6.87987987987988
midazolam,6568,6.574574574574575
ceftriaxone,6493,6.499499499499499
tamsulosin,6165,6.171171171171172
bupivacaine,5887,5.892892892892894
ibuprofen,5669,5.674674674674675
benzydamine,5599,5.604604604604605
nefopam,5567,5.5725725725725725
esomeprazole,5521,5.526526526526526
aceclofenac,5486,5.491491491491492
gentamicin,5248,5.253253253253253
magnesium sulfate,4998,5.003003003003003
rifaximin,4754,4.758758758758759
granisetron,4738,4.742742742742743
chlorpheniramine,4682,4.686686686686687
lansoprazole,4531,4.535535535535535
atorvastatin,4443,4.4474474474474475
vancomycin,4408,4.412412412412412
bromhexine,4387,4.391391391391392
metronidazole,4276,4.28028028028028
nalbuphine,4267,4.271271271271272
tranexamic acid,4049,4.053053053053053
remifentanil,4039,4.043043043043043
ipratropium,3957,3.960960960960961
hydrocortisone,3869,3.8728728728728727
metformin,3514,3.5175175175175175
simethicone,3389,3.3923923923923924
hyaluronate,3347,3.3503503503503507
theobromine,3334,3.3373373373373374
polaprezinc,3291,3.294294294294294
cefotaxime,3236,3.2392392392392395
calcium carbonate,3145,3.148148148148148
ropivacaine,3076,3.0790790790790794
celecoxib,3057,3.06006006006006
norepinephrine injection,2994,2.996996996996997
rosuvastatin,2922,2.924924924924925
flumazenil,2892,2.894894894894895
cefoxitin,2812,2.814814814814815
levetiracetam,2703,2.7057057057057055
mupirocin,2702,2.704704704704705
spironolactone,2682,2.684684684684685
diltiazem,2646,2.6486486486486487
clopidogrel,2622,2.6246246246246248
carbachol,2573,2.5755755755755754
dalteparin,2475,2.4774774774774775
atropine,2461,2.4634634634634636
zolpidem,2447,2.4494494494494496
ciprofloxacin,2380,2.3823823823823824
omeprazole,2364,2.3663663663663663
clindamycin,2326,2.3283283283283285
megestrol,2222,2.224224224224224
carvedilol,2206,2.2082082082082084
quetiapine,2196,2.1981981981981984
bisoprolol,2175,2.177177177177177
piroxicam,2172,2.1741741741741745
hyaluronidase,2110,2.112112112112112
nitroglycerin injection,2057,2.059059059059059
silymarin,2028,2.03003003003003
glimepiride,2013,2.015015015015015
mannitol,2013,2.015015015015015
sodium bicarbonate,1981,1.982982982982983
ketoprofen,1966,1.9679679679679678
lorazepam,1896,1.8978978978978978
sucralfate,1869,1.8708708708708708
nitroglycerin,1864,1.8658658658658658
bethanechol,1856,1.857857857857858
ondansetron,1820,1.8218218218218218
alfacalcidol,1798,1.7997997997997999
levofloxacin,1785,1.7867867867867866
levocetirizine,1779,1.780780780780781
warfarin,1748,1.7497497497497498
alprostadil,1740,1.7417417417417418
pregabalin,1717,1.7187187187187185
sufentanil injection,1662,1.6636636636636635
hydrochlorothiazide,1642,1.6436436436436437
calcium polycarbophil,1624,1.6256256256256256
nizatidine,1604,1.6056056056056054
dobutamine injection,1535,1.5365365365365364
norepinephrine,1515,1.5165165165165166
indocyanine green,1427,1.4284284284284285
amiodarone,1418,1.4194194194194194
meropenem,1412,1.4134134134134133
iron sucrose,1388,1.3893893893893894
insulin glargine,1372,1.3733733733733733
haloperidol,1369,1.3703703703703705
tacrolimus,1334,1.3353353353353354
valsartan,1296,1.2972972972972971
ceftizoxime,1292,1.2932932932932935
dexmedetomidine,1280,1.2812812812812813
gabapentin,1275,1.2762762762762763
"albumin human, usp 200 mg/ml injection",1210,1.2112112112112112
octreotide,1209,1.2102102102102104
aspirin,1208,1.209209209209209
nystatin,1207,1.2082082082082082
diclofenac,1204,1.2052052052052054
digoxin,1180,1.1811811811811812
cefuroxime,1154,1.155155155155155
nifedipine,1150,1.1511511511511512
meloxicam,1146,1.1471471471471473
loperamide,1144,1.1451451451451453
naproxen,1136,1.137137137137137
cephradine,1112,1.1131131131131131
isosorbide dinitrate,1064,1.065065065065065
basiliximab,1033,1.0340340340340342
sitagliptin,1031,1.032032032032032
mycophenolate mofetil,1013,1.014014014014014
linagliptin,1011,1.012012012012012
molsidomine,1005,1.006006006006006
telmisartan,999,1.0
clonazepam,980,0.9809809809809811
morphine,968,0.968968968968969
cefpodoxime,964,0.964964964964965
prednicarbate,936,0.9369369369369369
valproate,924,0.924924924924925
fluconazole,875,0.8758758758758759
rabeprazole,846,0.8468468468468469
olmesartan,819,0.8198198198198198
prasugrel,818,0.8188188188188188
ferric carboxymaltose,814,0.8148148148148148
labetalol,799,0.7997997997997999
misoprostol,798,0.7987987987987989
ceftazidime,787,0.7877877877877878
alprazolam,779,0.7797797797797797
nicorandil,764,0.7647647647647647
escitalopram,748,0.7487487487487487
codeine,737,0.7377377377377378
folic acid,734,0.7347347347347347
atenolol,731,0.7317317317317318
entecavir,710,0.7107107107107107
