Measurement Units,count,concept_id,concept_code
unknown,94.99533821,,
mg/dl,84.24915035,8840,mg/dl
g/dl,83.76191765,8713,g/dl
%,83.74988721,8554,%
mmol/l,83.56040783,8753,mmol/l
thous/mcl,82.82053596,8848,10*3/uL
fl,82.81151313,8583,fl
mill/mcl,82.81151313,8815,10*6/uL
pg,82.81151313,8564,pg
sec,51.16544858,8555,s
u/l,43.99230052,8645,[U]/L
#/hpf,32.13931246,8889,{cells}/[HPF]
/hpf,32.13630485,8789,/[HPF]
/lpf,32.13630485,8765,/[LPF]
mmhg,30.12722187,8876,mm[Hg]
ng/ml,21.23071371,8842,ng/ml
miu/ml,17.8471533,9550,10*-3.[iU]/mL
pg/ml,15.20346477,8845,pg/ml
ng/l,12.23495443,8725,ng/l
iu/ml,11.314626,8985,[iU]/mL
uiu/ml,10.47249541,9093,10*-6.[iU]/mL
mcg/dl,10.10857469,8837,ug/dL
mcg/ml,9.961201841,8859,ug/mL
mm/hr,7.479924208,8752,mm/h
ng/dl,7.164125237,8817,ng/dl
/100 wbc,6.743059942,9032,/100.{WBC}
sec.,6.604709916,8555,s
mm,5.476856447,8588,mm
mosm/kg,5.374597732,8862,mosm/kg
/cumm,4.505398659,8686,mm3
ml/dl,3.97906704,9570,ml/dl
ng/ml feu,3.666275677,32707,ng{FEU}/mL
degree,3.446720202,9484,deg
u/ml,2.872266835,8763,[U]/mL
mcmol/l,2.770008121,8749,umol/L
mg/l,2.475262414,8751,mg/l
mg,2.45120154,8576,mg
thous/ cu mm,2.397064573,8961,10*3/mm3
index,2.354958044,8529,{index}
titer,2.348942825,8525,{titer}
iv,1.741405757,8980,[arb'U]/mL
au/ml,1.699299227,8980,[arb'U]/mL
deg c,1.281241541,586323,Cel
nmol/l,1.260188276,8736,nmol/l
iu/l,1.08574694,8923,[iU]/L
log iu/ml,1.028602364,9084,lg([iU])/mL
ml/min/sq m bsa,0.989503444,,
od,0.809046889,,
ug/ml,0.688742519,8859,ug/ml
mg mical/gm cre,0.646635989,,
g/l,0.646635989,8636,g/l
cu,0.559415321,,
units,0.538362056,,
ml/min/1.73 m2,0.529339228,,
umol/l,0.502270745,8749,umol/l
ml,0.484225089,8587,ml
hours,0.44211856,,
ratio,0.427080514,,
g/tot vol,0.381966375,,
gpl,0.357905501,,
/mcl,0.357905501,,
mpl,0.357905501,,
copies/ml,0.330837018,,
log10,0.324821799,,
ug/l,0.291738097,8748,ug/l
ug/g,0.249631568,8720,ug/g
mg/day,0.24060874,,
mg/d,0.213540257,,
ng/ml/hr,0.213540257,,
ug/dl,0.210532648,8837,ug/dl
not reported,0.195494601,,
pmol/l,0.183464164,8729,pmol/l
deg,0.165418509,9484,deg
meq/l,0.165418509,,
bands,0.138350026,,
log copies/ml,0.138350026,,
tsi index,0.135342416,,
isr,0.132334807,,
%ppt,0.129327198,,
mcg/ml feu,0.129327198,,
mcg/min,0.126319589,,
mg/24 hrs,0.126319589,,
ml/min,0.123311979,8795,ml/min
apl,0.12030437,,
ug/d,0.12030437,,
mmol/tot vol,0.117296761,,
ug/g crt,0.117296761,,
sau,0.114289152,,
pru,0.105266324,,
liv,0.096243496,,
cpy/ml,0.084213059,,
cae units,0.078197841,,
log,0.075190231,,
micro iu/ml,0.060152185,,
mg/g,0.057144576,8723,mg/g
tu,0.054136967,,
ng/ml atp,0.051129357,,
u,0.03909892,9648,u
mg/gcr,0.030076093,,
mg/tv,0.027068483,,
ku/l,0.024060874,,
cp,0.024060874,8479,cp
g,0.021053265,8504,g
h,0.021053265,8505,h
mcg/l,0.018045656,,
eu/dl,0.018045656,,
hr,0.015038046,,
% fat,0.015038046,,
aps,0.012030437,,
gps,0.012030437,,
mps,0.012030437,,
mins,0.012030437,,
u/g hb,0.012030437,,
nmol/ml,0.009022828,8843,nmol/ml
umol/d,0.009022828,,
umol/mol crt,0.009022828,,
mg/24hr,0.006015219,,
g/24 h,0.006015219,,
umol/g crt,0.006015219,,
uge/ml,0.003007609,,
ratio serum:h2o,0.003007609,,
bu,0.003007609,,
nm bce,0.003007609,,
score,0.003007609,,
mg/tot vol,0.003007609,,
nmol/g,0.003007609,9609,nmol/g
