MEDICATION_NM,ingredient,concept_id
LEVOTHYROXINE SODIUM 125 MCG OR TABS,levothyroxine sodium,1501700
ATORVASTATIN CALCIUM 40 MG OR TABS,atorvastatin calcium,1545958
DEXTROSE-NACL 5-0.9 % IV SOLN,dextrose,
DEXTROSE-NACL 5-0.9 % IV SOLN,nacl,
SODIUM CHLORIDE 0.9 % IJ SOLN,sodium chloride,967823
HYDROCODONE-ACETAMINOPHEN 7.5-325 MG/15ML OR SOLN,hydrocodone,1174888
HYDROCODONE-ACETAMINOPHEN 7.5-325 MG/15ML OR SOLN,acetaminophen,1125315
HYDROCODONE-ACETAMINOPHEN 5-325 MG OR TABS,hydrocodone,1174888
HYDROCODONE-ACETAMINOPHEN 5-325 MG OR TABS,acetaminophen,1125315
LIDOCAINE HCL 2 % EX GEL,lidocaine hcl,989878
CENTRUM OR LIQD,centrum or liqd,
ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,enoxaparin sodium,1301025
"PIPERACILLIN-TAZOBACTAM IVPB 4,500 MG (UCI)",piperacillin,1746114
"PIPERACILLIN-TAZOBACTAM IVPB 4,500 MG (UCI)",tazobactam ivpb,1741122
HYDROMORPHONE HCL 1 MG/ML IJ SOLN,hydromorphone hcl,1126658
MEPERIDINE HCL 25 MG/ML IJ SOLN,meperidine hcl,1102527
AMPICILLIN-SULBACTAM IVPB 1.5 GM (UCI),ampicillin,1717327
AMPICILLIN-SULBACTAM IVPB 1.5 GM (UCI),sulbactam ivpb,1836241
ACETAMINOPHEN 325 MG OR TABS,acetaminophen,1125315
ONDANSETRON HCL 4 MG/2ML IV SOLN,ondansetron hcl,1000560
FAMOTIDINE 20 MG OR TABS,famotidine,953076
FAMOTIDINE 20 MG/2ML IV SOLN,famotidine,953076
DOCUSATE SODIUM 150 MG/15ML OR LIQD,docusate sodium,941258
DOCUSATE SODIUM 150 MG/15ML OR LIQD,or liqd,
CALCIUM CARBONATE ANTACID 1250 MG/5ML PO SUSP,calcium carbonate antacid,19035704
CALCIUM CARBONATE ANTACID 1250 MG/5ML PO SUSP,po susp,
SODIUM CHLORIDE 0.9 % IR SOLN,sodium chloride,967823
SODIUM CHLORIDE 0.9 % IR SOLN,ir soln,
CLINDAMYCIN PHOSPHATE IN NACL 600-0.9 MG/50ML-% IV SOLN,clindamycin phosphate in nacl,997881
ENALAPRILAT 1.25 MG/ML IV INJ,enalaprilat,1342001
ENALAPRILAT 1.25 MG/ML IV INJ,ml iv inj,
LABETALOL HCL 5 MG/ML IV SOLN,labetalol hcl,1386957
LABETALOL HCL 5 MG/ML IV SOLN,ml iv soln,
CEFAZOLIN IV PUSH 1 GM IN SWFI 10 ML,cefazolin iv push,1771162
LACTATED RINGERS IV BOLUS (UCI),lactated ringers iv bolus,
LIDOCAINE 5 % EX PTCH,lidocaine,989878
LIDOCAINE 5 % EX PTCH,ex ptch,
GABAPENTIN 300 MG OR CAPS,gabapentin,797399
GABAPENTIN 300 MG OR CAPS,mg or caps,
POLYETHYLENE GLYCOL 3350 OR PACK,polyethylene glycol,
DOCUSATE SODIUM 250 MG OR CAPS,docusate sodium,941258
DOCUSATE SODIUM 250 MG OR CAPS,mg or caps,
