DOSE_UNIT_NM,count,concept_id,concept_code
mg,99.05667692,8576,mg
mcg,95.30406017,9655,ug
ml,94.14105911,8587,ml
ml/hr,83.57584059,44777613,mL/h
units,51.32452898,8510,[U]
g,49.23888042,8504,g
application,48.51006642,45891000,[App]
tablet,43.18869046,9431,{tbl}
mcg/kg/min,40.50603468,9688,ug/kg/min
meq,28.69769726,9573,mmol
patch,21.33460833,,
mcg/min,16.52753728,8774,ug/min
packet,10.12069367,,
lozenge,9.975964645,,
each,9.668415476,,
mg/hr,9.322099605,44777610,mg/h
drop,8.164267439,9296,[drp]
units/hr,7.913576099,8630,[U]/h
mcg/hr,6.580001551,44777645,ug/h
puff,6.417181402,,
spray,5.179231386,,
mcg/kg/hr,4.711446515,9690,ug/kg/h
units/min,3.106505053,,
millicurie,2.509497842,44819154,mCi
strip,2.160597524,,
capsule,1.997777376,,
bottle,1.982270695,,
g/hr,1.94608844,4086544,g/h
mg/kg,1.858217249,9562,mg/kg
mg/kg/hr,1.803943866,9691,mg/kg/h
mg/min,1.744501589,44777611,mg/min
l,1.23536557,8519,l
enema,1.173338847,,
stick,0.728813997,,
device,0.723645104,,
inch,0.692631742,9330,[in_us]
ml/kg,0.511720466,9571,ml/kg
units/kg,0.297211382,,
implant,0.26619802,,
applicatorful,0.263613574,,
units/kg/hr,0.248106893,,
million units,0.237769106,,
vial,0.188664616,,
suppository,0.175742382,,
mg/m2,0.149897914,9563,mg/m2
ml/kg/hr,0.13697568,,
ng/kg/min,0.113715659,720839,ng/kg/min
bag,0.108546766,,
g/kg,0.105962319,9512,g/kg
milli-units/min,0.07236451,,
milli-units/hr,0.069780064,,
mg/kg/min,0.043935596,9692,mg/kg/min
mcg/kg,0.036182255,,
%,0.036182255,8554,%
dose,0.031013362,,
mcg/ml,0.023260021,,
ml/ml,0.023260021,45891033,ml/ml
kit,0.020675574,,
tube,0.020675574,,
g/m2,0.018091128,9513,g/m2
mg/day,0.015506681,,
mg/kg/day,0.015506681,,
units/ml,0.015506681,,
can,0.012922234,,
pump,0.012922234,,
ml/l,0.010337787,45891013,ml/l
unspecified,0.010337787,,
applicator,0.010337787,,
million pfu,0.010337787,,
ml/min,0.010337787,8795,ml/min
mg/m2/day,0.00775334,,
mg/ml,0.00775334,8861,mg/ml
meq/l,0.005168894,,
mcg/day,0.005168894,,
ring,0.005168894,,
syringe,0.005168894,,
mmol,0.005168894,9573,mmol
mcl/hr,0.005168894,,
int'l units/hr,0.005168894,,
squirt,0.002584447,,
l/ml,0.002584447,,
tera vector genomes/kg,0.002584447,,
g/100 ml,0.002584447,,
ml/m2,0.002584447,32739,ml/m2
mcl/ml,0.002584447,,
milli-units/ml,0.002584447,,
int'l units/l,0.002584447,,
ml/oz/day,0.002584447,,
tera vector genomes,0.002584447,,
ml/kg/min,0.002584447,710219,ml/kg/min
l/hr,0.002584447,,
film,0.002584447,,
mcg/m2,0.002584447,,
act,0.002584447,,
units/l,0.002584447,,
meq/ml,0.002584447,,
int'l units factor 8,0.002584447,,
