Label,count
glucose,0.7704552261722885
creatinine,0.7560810014409483
hct,0.5420877294941017
potassium,0.5223375800230906
sodium,0.5205705297102249
calcium,0.49926415050437445
hb,0.4600800824293921
wbc,0.4218815745935573
platelet,0.41409367550676296
chloride,0.39947851297196413
lymphocyte,0.39235994325727797
bun,0.381890053319484
phosphorus,0.37564280609230555
albumin,0.3687641356560631
total_bilirubin,0.3549154045822663
alt,0.3466461491510621
ast,0.34650490974903464
total_protein,0.3414691019517463
alp,0.3386874126993155
crp,0.2418221075088261
sao2,0.2133255003622609
hco3,0.21285037516794053
ptinr,0.199855311656398
ph,0.18403026747923149
pao2,0.18352554432198626
paco2,0.18339624795763024
aptt,0.17428734505187304
fibrinogen,0.14490643385511376
be,0.13415198806323503
lacate,0.12222660531704763
ckmb,0.03582807448930753
ck,0.03455640060855281
troponin_i,0.02882893515133576
hba1c,0.023557382175663274
troponin_t,0.0002534001036375268
d_dimer,0.00016460621486290164
