MEDICATION_NM,count,perc
FENTANYL CITRATE (PF) 100 MCG/2ML IJ SOLN,34482,86.88925286632228
PROPOFOL 200 MG/20ML IV EMUL,33760,85.06992566460879
ONDANSETRON HCL 4 MG/2ML IV SOLN,32745,82.51228423837722
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,30814,77.64646591911301
PLASMA-LYTE A IV SOLN,27784,70.0113392969636
PHENYLEPHRINE DILUTION 100 MCG/ML IJ SOLN,19126,48.19453193901978
SODIUM CHLORIDE 0.9 % IR SOLN,19047,47.995464281214566
LIDOCAINE 1% SOLN OPTIME (UCI),16983,42.79450674058209
CEFAZOLIN SODIUM 1 GM IJ SOLR,16239,40.91974297593549
EPHEDRINE SULFATE 50 MG/ML IJ SOLN,16211,40.84918735038428
ROCURONIUM BROMIDE 100 MG/10ML IV SOLN,15196,38.2915459241527
GLYCOPYRROLATE 1 MG/5ML IV SOSY,15037,37.890890764772585
NEOSTIGMINE METHYLSULFATE 5 MG/5ML IV SOSY,13195,33.24933854101046
HYDROMORPHONE HCL 2 MG/ML IJ SOLN,12219,30.789971021796646
SUGAMMADEX SODIUM 200 MG/2ML IV SOLN,12204,30.752173365251355
SUCCINYLCHOLINE CHLORIDE 100 MG/5ML IV SOSY,11687,29.449414136323547
ROCURONIUM BROMIDE 50 MG/5ML IV SOSY,11327,28.54227037923649
LIDOCAINE HCL 20 MG/ML IV INJECTION WRAPPED RECORD,11168,28.14161521985637
MIDAZOLAM HCL 2 MG/2ML IJ SOLN,10478,26.402923018772835
PROPOFOL 1000 MG/100 ML INFUSION (UCI),9986,25.16315988408719
SODIUM CHLORIDE 0.9 % IV SOLN,7708,19.422955776741844
LIDOCAINE HCL (CARDIAC) 20 MG/ML IV SOLN,6291,15.852337155096382
LACTATED RINGERS IV SOLN,5986,15.083784805342068
LIDOCAINE-EPINEPHRINE 1 %-1:100000 IJ SOLN,5571,14.038049640922262
ACETAMINOPHEN 10 MG/ML IV SOLN,5362,13.51140229305783
PROPOFOL 1000 MG/100ML IV EMUL,5098,12.846163537860653
KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,5026,12.66473478644324
ROCURONIUM BROMIDE 50 MG/5ML IV SOLN,4516,11.379614463903238
ALBUMIN HUMAN 5 % IV SOLN,4483,11.29645961950359
SUGAMMADEX SODIUM 500 MG/5ML IV SOLN,4381,11.03943555499559
PHENYLEPHRINE INFUSION (ANESTHESIA) (UCI),4272,10.764772584099786
SURGIFLO HEMOSTATIC MATRIX KIT,4241,10.686657427239512
KETAMINE HCL 100 MG/ML IJ SOLN,4129,10.404434925034648
CALCIUM CHLORIDE 10 % IV SOLN,4123,10.389315862416531
SENNA 8.6 MG OR TABS,3726,9.388937885851076
BACITRACIN 500 UNIT/GM EX OINT,3725,9.38641804208139
SURGILUBE EX GEL,3610,9.096636008567469
DEXTROSE 50 % IV SOLN,3403,8.575028348242409
ESMOLOL HCL 100 MG/10ML IV SOLN,3401,8.569988660703036
BUPIVACAINE HCL 0.25 % IJ SOLN,3391,8.544790223006174
GLUCAGON HCL (DIAGNOSTIC) 1 MG IJ SOLR,3248,8.184452563941036
BUPIVACAINE HCL (PF) 0.25 % IJ SOLN,3181,8.015623031372055
DEXTROSE 10 % IV SOLN,3098,7.806475998488094
DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,3084,7.771198185712485
REMIFENTANIL INFUSION IN 100ML (ANESTHESIA) (UCI),3064,7.720801310318761
THROMBIN 5000 UNIT EX SOLR,3063,7.718281466549073
CEFAZOLIN SODIUM-DEXTROSE 2-4 GM/100ML-% IV SOLN,3050,7.685523497543152
POVIDONE-IODINE 10 % EX SWAB,3015,7.597328965604133
INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN (UCI),2947,7.4259795892654665
LIDOCAINE HCL 1 % IJ SOLN,2936,7.398261307798916
DOCUSATE SODIUM 250 MG OR CAPS,2925,7.370543026332367
SODIUM CHLORIDE FLUSH 0.9 % IV SOLN,2914,7.342824744865818
CEFAZOLIN IVPB 1 GM IN NS OR D5W,2852,7.186594431145268
TRANEXAMIC ACID IVPB (OPTIME),2823,7.113518961824367
VASOPRESSIN 20 UNIT/ML IV SOLN,2817,7.09839989920625
IOHEXOL 300 MG/ML IJ SOLN,2780,7.005165679727857
HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,2710,6.828776615849817
STERILE WATER FOR IRRIGATION IR SOLN,2535,6.387803956154718
ACETAMINOPHEN 325 MG OR TABS,2465,6.211414892276679
VANCOMYCIN HCL 1 GM IV SOLR,2457,6.1912561421191885
LABETALOL HCL 5 MG/ML IV SOLN,2433,6.130779891646718
"HEPARIN 5,000 UNITS IN 500 ML NS SOLUTION (OPTIME)",2318,5.840997858132796
FAMOTIDINE 20 MG/2ML IV SOLN,2305,5.808239889126874
"VANCOMYCIN 1,000 MG IN 1,000 ML NS IRRIGATION (OPTIME)",2178,5.488219730376716
SODIUM CHLORIDE 0.9 % IJ SOLN,2088,5.261433791104952
BUPIVACAINE HCL 0.5 % IJ SOLN,2031,5.117802696232833
GLYCOPYRROLATE 1 MG/5ML IJ SOLN,2012,5.069925664608794
"BUPIVACAINE 0.5% AND LIDOCAINE 1%-EPI 1:100,000 (OPTIME)",2007,5.057326445760363
"BACITRACIN 50,000 UNITS IN 1000 ML NS IRRIGATION (OPTIME)",1958,4.933854101045735
CEFAZOLIN IV PUSH 1 GM IN SWFI 10 ML,1944,4.898576288270127
METHYLENE BLUE 50 MG/10ML IV SOLN,1908,4.807861912561421
POLYETHYLENE GLYCOL 3350 OR PACK,1881,4.739826130779892
METHOCARBAMOL 500 MG OR TABS,1847,4.654151442610558
ISOPROPYL ALCOHOL 70 % SOLN,1824,4.5961950359077735
BUPIVACAINE HCL (PF) 0.5 % IJ SOLN,1779,4.4828020662718915
