Table,Label,Unit,concept_name,vocab,concept_id,Lab Code,perc
labs,Hematocrit,%,Hematocrit [Volume Fraction] of Blood,LOINC,3009542,20570-8,69.46705304
labs,Hemoglobin,G/DL,Hemoglobin [Mass/volume] in Venous blood,LOINC,3004119,30350-3,69.45949351
labs,Platelets,THOUS/MCL,Platelets [#/volume] in Blood,LOINC,3007461,26515-7,69.38641804
labs,Leukocytes^^corrected for nucleated erythrocytes,THOUS/MCL,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,LOINC,3046900,33256-9,69.3838982
labs,Erythrocyte mean corpuscular hemoglobin,PG,MCH [Entitic mass] by Automated count,LOINC,3012030,785-6,69.38137835
labs,Erythrocyte distribution width,%,Erythrocyte distribution width [Ratio] by Automated count,LOINC,3019897,788-0,69.38137835
labs,Erythrocyte mean corpuscular hemoglobin concentration,G/DL,MCHC [Mass/volume] by Automated count,LOINC,3009744,786-4,69.38137835
labs,Erythrocyte mean corpuscular volume,FL,MCV [Entitic volume],LOINC,3024731,30428-7,69.38137835
labs,Erythrocytes,MILL/MCL,Erythrocytes [#/volume] in Blood by Automated count,LOINC,3020416,789-8,69.38137835
labs,Platelet mean volume,FL,Platelet mean volume [Entitic volume] in Blood by Automated count,LOINC,3043111,32623-1,69.38137835
labs,Calcium,mg/dL,Calcium [Mass/volume] in Serum or Plasma,LOINC,3006906,17861-6,68.84213179
labs,Potassium,mmol/L,Potassium [Moles/volume] in Serum or Plasma,LOINC,3023103,23-Mar,68.55990929
labs,Glucose,mg/dL,Glucose [Mass/volume] in Serum or Plasma,LOINC,3004501,Jul-45,68.49943304
labs,Glomerular filtration rate/1.73 sq M.predicted.black,Unknown,"Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",LOINC,3053283,48643-1,68.49439335
labs,Glomerular filtration rate/1.73 sq M.predicted.non black,Unknown,"Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",LOINC,3049187,48642-3,68.49439335
labs,Creatinine,mg/dL,Creatinine [Mass/volume] in Serum or Plasma,LOINC,3016723,2160-0,68.49439335
labs,Urea nitrogen,mg/dL,Urea nitrogen [Mass/volume] in Serum or Plasma,LOINC,3013682,3094-0,68.48935366
labs,Sodium,mmol/L,Sodium [Moles/volume] in Serum or Plasma,LOINC,3019550,Feb-51,68.48683382
labs,Anion gap,mmol/L,Anion gap in Serum or Plasma,LOINC,3045716,33037-3,68.48683382
labs,Chloride,mmol/L,Chloride [Moles/volume] in Serum or Plasma,LOINC,3014576,2075-0,68.48683382
labs,Carbon dioxide,mmol/L,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",LOINC,3015632,28-Sep,68.48683382
labs,Microorganism identified,Unknown,Microorganism identified in Specimen by Culture,LOINC,3024461,11475-1,61.08101298
labs,Differential cell count method,Unknown,Differential cell count method - Blood,LOINC,3053331,49024-3,49.7064382
labs,Monocytes/100 leukocytes,%,Monocytes/100 leukocytes in Blood,LOINC,3019069,26485-3,49.69383898
labs,Monocytes,THOUS/MCL,Monocytes [#/volume] in Blood,LOINC,3001604,26484-6,49.68627945
labs,Eosinophils/100 leukocytes,%,Eosinophils/100 leukocytes in Blood,LOINC,3006504,26450-7,49.65604133
labs,Magnesium,mg/dL,Magnesium [Mass/volume] in Serum or Plasma,LOINC,3001420,19123-9,48.73881819
labs,ABO & Rh group,Unknown,ABO and Rh group [Type] in Blood,LOINC,3003694,882-1,47.77119819
labs,Phosphate,MG/DL,Phosphate [Mass/volume] in Serum or Plasma,LOINC,3011904,Jan-77,46.19377599
labs,Neutrophils/100 leukocytes,%,Neutrophils/100 leukocytes in Blood by Automated count,LOINC,3008342,770-8,46.12826005
labs,Lymphocytes/100 leukocytes,%,Lymphocytes/100 leukocytes in Blood by Automated count,LOINC,3037511,736-9,46.12070052
labs,Lymphocytes,THOUS/MCL,Lymphocytes [#/volume] in Blood by Automated count,LOINC,3004327,731-0,46.11818067
labs,Neutrophils,THOUS/MCL,Neutrophils [#/volume] in Blood,LOINC,3017732,26499-4,46.11818067
labs,Eosinophils,THOUS/MCL,Eosinophils [#/volume] in Blood by Automated count,LOINC,3028615,711-2,46.10054177
labs,Basophils/100 leukocytes,%,Basophils/100 leukocytes in Blood,LOINC,3022096,30180-4,46.10054177
labs,Basophils,THOUS/MCL,Basophils [#/volume] in Blood by Automated count,LOINC,3013429,704-7,46.09298224
labs,Indirect antiglobulin test.IgG specific reagent,Unknown,Indirect antiglobulin test.IgG specific reagent [Presence] in Serum or Plasma,LOINC,3016255,1005-8,45.71752551
labs,Coagulation tissue factor induced,SEC,Prothrombin time (PT),LOINC,3034426,02-Feb,42.71891143
labs,Coagulation tissue factor induced.INR,Unknown,INR in Platelet poor plasma by Coagulation assay,LOINC,3022217,01-Jun,42.69623283
labs,Coagulation surface induced,SEC,aPTT in Platelet poor plasma by Coagulation assay,LOINC,3018677,14979-9,41.53458486
labs,Albumin,G/DL,Albumin [Mass/volume] in Serum or Plasma,LOINC,3024561,1751-7,36.55285372
labs,Protein,G/DL,Protein [Mass/volume] in Serum or Plasma,LOINC,3020630,Feb-85,35.71878544
labs,Bilirubin,mg/dL,Bilirubin.total [Mass/volume] in Serum or Plasma,LOINC,3024128,Feb-75,35.693587
labs,Alanine aminotransferase,U/L,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC,3006923,1742-6,35.68854731
labs,Alkaline phosphatase,U/L,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,LOINC,3035995,Jun-68,35.68602747
labs,Aspartate aminotransferase,U/L,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC,3013721,20-Aug,35.68602747
labs,Major crossmatch,Unknown,Major crossmatch [Interpretation] by Immediate spin,LOINC,3003488,1251-8,32.80080635
labs,Specific gravity,Unknown,Specific gravity of Urine by Refractometry automated,LOINC,3029991,50562-8,27.30754693
labs,pH,Unknown,pH of Urine by Automated test strip,LOINC,3029305,50560-2,26.93461005
labs,Urinalysis specimen collection method,Unknown,Urinalysis specimen collection method,LOINC,3025954,19159-3,26.93209021
labs,Leukocyte clumps,#/HPF,Leukocyte clumps [#/area] in Urine sediment by Automated count,LOINC,3030114,50233-6,26.92705052
labs,Bacteria,Unknown,Bacteria [#/area] in Urine sediment by Automated count,LOINC,3028923,33218-9,26.92705052
labs,Leukocytes,#/HPF,Leukocytes [#/area] in Urine sediment by Automated count,LOINC,3051014,46702-7,26.92705052
labs,Erythrocytes,#/HPF,Erythrocytes [#/area] in Urine sediment by Automated count,LOINC,3048402,46419-8,26.92705052
labs,Epithelial cells.non-squamous,/HPF,Epithelial cells.non-squamous [Presence] in Urine by Automated,LOINC,3032238,50225-2,26.92453068
labs,Mucus,/LPF,Mucus [#/area] in Urine sediment by Automated count,LOINC,3033262,50235-1,26.92453068
labs,Glucose,MG/DL,Glucose [Mass/volume] in Urine by Automated test strip,LOINC,3039896,53328-1,26.92201084
labs,Protein,MG/DL,Protein [Mass/volume] in Urine by Automated test strip,LOINC,3029872,50561-0,26.92201084
labs,Leukocyte esterase,Unknown,Leukocyte esterase [Presence] in Urine by Automated test strip,LOINC,40763086,60026-2,26.92201084
labs,Ketones,MG/DL,Ketones [Mass/volume] in Urine by Automated test strip,LOINC,3030173,50557-8,26.92201084
labs,Nitrite,Unknown,Nitrite [Presence] in Urine by Automated test strip,LOINC,3030758,50558-6,26.92201084
labs,Clarity,Unknown,Clarity in Urine by Refractometry automated,LOINC,3029709,50552-9,26.90437193
labs,Color,Unknown,Color of Urine by Auto,LOINC,3029925,50553-7,26.90437193
labs,Urobilinogen,MG/DL,Urobilinogen [Mass/volume] in Urine by Automated test strip,LOINC,3029870,50563-6,26.89933224
labs,Hemoglobin,Unknown,Hemoglobin [Presence] in Urine by Automated test strip,LOINC,40760861,57751-0,26.89933224
labs,Bilirubin,Unknown,Bilirubin.total [Presence] in Urine by Automated test strip,LOINC,3030477,50551-1,26.89933224
labs,Hemoglobin,G/DL,Hemoglobin [Mass/volume] in Blood,LOINC,3000963,718-7,26.38024442
labs,Calcium.ionized,mmol/L,Calcium.ionized [Moles/volume] in Blood,LOINC,3021119,Mar-94,26.31472849
labs,SARS coronavirus 2 RNA,Unknown,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory system specimen by NAA with probe detection,LOINC,706163,94500-6,25.61673176
labs,Carbon dioxide,Unknown,Carbon dioxide [Partial pressure] in Blood,LOINC,3013290,11557-6,25.24127504
labs,Potassium,MMOL/L,Potassium [Moles/volume] in Blood,LOINC,3005456,Apr-98,24.51807988
labs,Carbon dioxide,MMOL/L,"Carbon dioxide, total [Moles/volume] in Blood",LOINC,3014094,20565-8,24.47524253
labs,Sodium,MMOL/L,Sodium [Moles/volume] in Blood,LOINC,3000285,2947-0,24.42232582
labs,Glucose,MG/DL,Glucose [Mass/volume] in Blood,LOINC,3000483,2339-0,24.41980597
labs,D-lactate,mmol/L,D-Lactate [Moles/volume] in Serum or Plasma,LOINC,3020156,14045-9,23.97379362
labs,Oxygen saturation,%,Oxygen saturation Calculated from oxygen partial pressure in Blood,LOINC,3011367,13-Jun,21.74121204
labs,Bicarbonate,MMOL/L,Bicarbonate [Moles/volume] in Blood,LOINC,3006576,Jun-59,21.74121204
labs,Oxygen,MMHG,Oxygen [Partial pressure] in Blood,LOINC,3027315,11556-8,21.74121204
labs,pH,Unknown,pH of Blood,LOINC,3010421,11558-4,21.68577548
labs,Base excess^^standard,MMOL/L,Base excess standard in Arterial blood by calculation,LOINC,3021421,19235-1,21.68577548
labs,Platelet morphology finding,Unknown,Platelet morphology finding [Identifier] in Blood,LOINC,3003214,11125-2,20.39309563
labs,Erythrocyte morphology finding,Unknown,Erythrocyte morphology finding [Identifier] in Blood,LOINC,3012764,Jan-42,20.39057578
