ingredient,count,perc,count_inspire,perc_inspire,concept_id,concept_id_mover,count_mover,perc_mover
propofol,95712.0,154.25279221795387,58802.0,58.86086086086087,753626.0,753626,36895.0,95.35316465510556
fentanyl,75377.0,132.64651468205085,39257.0,39.2962962962963,1154029.0,1154029,1859.0,4.804486599643346
calcium chloride / lactate / potassium chloride / sodium chloride injectable solution,63363.0,63.42642642642643,63363.0,63.42642642642643,40166953.0,,,
famotidine,61721.0,76.01796050825592,52731.0,52.78378378378379,953076.0,953076,8985.0,23.22125449047632
lidocaine,57095.0,113.37081177008297,21591.0,21.612612612612615,989878.0,989878,16594.0,42.88631018530484
ephedrine,54098.0,80.56561151128643,37417.0,37.454454454454456,1143374.0,1143374,8.0,0.0206755743933011
ambroxol,53961.0,54.01501501501501,53961.0,54.01501501501501,19088167.0,,,
cefazolin,52165.0,87.55022675739602,29851.0,29.880880880880884,1771162.0,1771162,176.0,0.4548626366526245
acetaminophen,50229.0,105.21693124649732,15534.0,15.54954954954955,1125315.0,1125315,34695.0,89.66738169694777
bisacodyl,42445.0,53.756871233003864,35328.0,35.36336336336336,924939.0,924939,6627.0,17.12712893805081
midazolam,39410.0,84.65524354116606,10861.0,10.871871871871871,708298.0,708298,519.0,1.34132788876541
phenylephrine,38174.0,71.50416011856065,17149.0,17.166166166166168,1135766.0,1135766,378.0,0.9769208900834776
ondansetron,36477.0,91.39099454040141,1820.0,1.8218218218218218,1000560.0,1000560,544.0,1.4059390587444758
epinephrine,34604.0,54.35728916314551,22151.0,22.173173173173172,1343916.0,1343916,10646.0,27.51402062388545
dexamethasone,31890.0,81.89705475770138,329.0,0.32932932932932935,1518254.0,1518254,474.0,1.2250277828030909
ketorolac,31375.0,46.18945637804346,22039.0,22.06106106106106,1136980.0,1136980,18.0,0.0465200423849275
sodium chloride,29625.0,75.85485270761677,448.0,0.44844844844844844,967823.0,967823,25090.0,64.84377019099063
rocuronium,28966.0,74.0931147724366,485.0,0.4854854854854855,19003953.0,19003953,71.0,0.1834957227405474
remifentanil,28091.0,33.11805750391541,24934.0,24.95895895895896,19016749.0,,,
oxycodone,27370.0,59.8532859223165,6873.0,6.87987987987988,1124957.0,1124957,686.0,1.7729305042255707
magnesium oxide,24984.0,31.752904663379425,20725.0,20.745745745745744,993631.0,993631,4258.0,11.004574470834518
sodium chloride 9 mg/ml injection,24411.0,24.435435435435434,24411.0,24.435435435435434,40221382.0,,,
moxifloxacin,23661.0,24.650586621563285,23051.0,23.074074074074076,1716903.0,1716903,1.0,0.0025844467991626
potassium chloride,23186.0,36.856928543564365,14567.0,14.581581581581581,19049105.0,19049105,2353.0,6.08120331842969
pantoprazole,22519.0,35.72214436543902,14195.0,14.20920920920921,948078.0,948078,40.0,0.1033778719665055
hydromorphone,22003.0,56.32246101320611,343.0,0.3433433433433433,1126658.0,1126658,2310.0,5.970072106065697
bupivacaine,21957.0,47.42495295543651,5887.0,5.892892892892894,732893.0,732893,6002.0,15.51184968857416
cefotetan,18250.0,19.940387031126956,17194.0,17.21121121121121,1774932.0,,,
docusate sodium,17429.0,45.04432326260564,,,,941258,17429.0,45.04432326260564
ofloxacin,16518.0,16.84172301937789,16324.0,16.34034034034034,923081.0,923081,194.0,0.501382679037552
sugammadex,16215.0,41.81338154633066,59.0,0.05905905905905907,35604506.0,,,
palonosetron,16016.0,16.073201622784236,15990.0,16.006006006006007,911354.0,,,
hydroxyethyl starch 130-0.4 injection,15817.0,15.832832832832832,15817.0,15.832832832832832,1718295.0,,,
metoclopramide,15164.0,20.11002939465452,12050.0,12.062062062062061,906780.0,906780,12.0,0.0310133615899516
magnesium sulfate,14962.0,30.754430909859543,4998.0,5.003003003003003,19093848.0,19093848,9516.0,24.593595740831677
amlodipine,14076.0,21.6557941137064,9298.0,9.307307307307306,1332418.0,1332418,4778.0,12.348486806399093
gabapentin,13651.0,33.2613898627131,1275.0,1.2762762762762763,797399.0,797399,12376.0,31.985113586436825
neostigmine,13496.0,34.83694096494861,27.0,0.02702702702702703,717136.0,717136,1.0,0.0025844467991626
